,Player,Club,GamesPlayed,GamesStarted,ShotsFaced,SavesMade,GoalsAgainst,Wins,Losses,Ties,ShutOuts,WinsPercentage,SavePercentage,Year
290,Tim Howard,Metropolitan Oval,13,13,96,74,18,6,3,4,3,46.2,77.1,1996
291,Jeff Cassar,FC Dallas,7,6,40,23,16,1,4,1,2,14.3,57.5,1996
292,Tom Presthus,Columbus Crew,7,6,30,21,9,1,4,2,2,14.3,70.0,1996
293,Doug Warren,D.C. United,5,4,33,26,6,0,2,2,0,0.0,78.8,1996
294,Matt Reis,New England Revolution,5,5,23,12,10,1,3,1,0,20.0,52.2,1996
295,Scott Vallow,Colorado Rapids,4,4,22,14,7,0,2,2,0,0.0,63.6,1996
296,Paul Grafer,Metropolitan Oval,3,3,24,14,8,1,2,0,1,33.3,58.3,1996
297,Jon Conway,San Jose Earthquakes,3,3,18,11,6,0,2,1,1,0.0,61.1,1996
298,Bo Oshoniyi,KC ,1,0,0,0,0,0,0,0,0,0.0,0.0,1996
299,Kyle Singer,New England Revolution,1,0,0,0,0,0,0,0,0,0.0,0.0,1996
300,Henry Ring,Chicago FIre FC,1,0,1,1,0,0,0,0,0,0.0,100.0,1996
301,Dan Popik,LA Galaxy,1,0,0,0,0,0,0,0,0,0.0,0.0,1996
302,Curtis Spiteri,Chicago FIre FC,1,0,10,4,6,0,1,0,0,0.0,40.0,1996
303,Joe Cannon,Colorado Rapids,1,0,0,0,0,0,0,0,0,0.0,0.0,1996
304,Clint Baumstark,Columbus Crew,1,1,1,0,1,0,0,1,0,0.0,0.0,1996
305,Byron Foss,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
306,Jorge Geddes,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
307,Mike McGinty,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
308,Michael Ueltschey,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
309,Josh Saunders,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
310,Taly Goode,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
311,Kevin Hartman,LA Galaxy,30,30,164,117,39,11,8,10,7,36.7,71.3,2004
312,Joe Cannon,Colorado Rapids,30,30,187,150,32,10,9,11,10,33.3,80.2,2004
313,Jon Busch,Columbus Crew,29,29,169,132,31,12,5,12,10,41.4,78.1,2004
314,Henry Ring,Chicago FIre FC,28,28,170,128,40,7,12,9,7,25.0,75.3,2004
315,Jonny Walker,Metropolitan Oval,28,28,148,99,45,10,11,7,5,35.7,66.9,2004
316,Pat Onstad,San Jose Earthquakes,25,25,132,98,32,7,8,10,6,28.0,74.2,2004
317,Matt Reis,New England Revolution,24,23,134,97,32,7,10,7,3,29.2,72.4,2004
318,Tony Meola,KC ,21,21,102,76,22,9,7,5,7,42.9,74.5,2004
319,Jeff Cassar,FC Dallas,19,19,94,65,27,7,8,4,4,36.8,69.1,2004
320,Troy Perkins,D.C. United,16,16,81,52,26,4,6,6,3,25.0,64.2,2004
321,Nick Rimando,D.C. United,13,13,40,26,13,7,3,3,4,53.8,65.0,2004
322,Scott Garlick,FC Dallas,12,11,72,52,18,3,6,2,4,25.0,72.2,2004
323,Bo Oshoniyi,KC ,9,9,56,42,8,5,2,2,5,55.6,75.0,2004
324,Adin Brown,New England Revolution,7,7,51,39,11,1,3,2,1,14.3,76.5,2004
325,Jon Conway,San Jose Earthquakes,5,5,18,15,3,2,2,1,2,40.0,83.3,2004
326,D.J. Countess,Chicago FIre FC,2,2,9,4,4,1,1,0,0,50.0,44.4,2004
327,Zach Wells,Metropolitan Oval,2,2,8,4,4,1,1,0,0,50.0,50.0,2004
328,Dan Popik,LA Galaxy,1,0,3,2,1,0,1,0,0,0.0,66.7,2004
329,Matt Jordan,Columbus Crew,1,1,7,5,1,0,0,1,0,0.0,71.4,2004
330,Doug Warren,D.C. United,1,1,10,6,3,0,1,0,0,0.0,60.0,2004
331,Matt Pickens,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
332,William Hesmer,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
333,Zach Thornton,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
334,Kyle Singer,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
335,Andrew Terris,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
336,Scott Vallow,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
337,Steve Cronin,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
338,Clint Baumstark,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
339,Peter Billmeyer,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2004
340,Pat Onstad,San Jose Earthquakes,32,32,136,105,31,18,4,10,12,56.3,77.2,2005
341,Bo Oshoniyi,KC ,32,32,163,112,44,11,9,12,7,34.4,68.7,2005
342,Matt Reis,New England Revolution,31,31,162,115,35,16,7,8,10,51.6,71.0,2005
343,Kevin Hartman,LA Galaxy,31,31,138,94,43,13,13,5,6,41.9,68.1,2005
344,Nick Rimando,D.C. United,30,30,128,92,35,15,9,6,11,50.0,71.9,2005
345,Scott Garlick,FC Dallas,28,27,135,98,37,13,8,7,6,46.4,72.6,2005
346,Zach Thornton,Chicago FIre FC,27,26,126,82,42,12,10,2,6,44.4,65.1,2005
347,Joe Cannon,Colorado Rapids,27,27,139,100,32,10,12,4,8,37.0,71.9,2005
348,D.J. Countess,Real Salt Lake,27,27,170,112,54,4,19,4,4,14.8,65.9,2005
349,Brad Guzan,Atlanta United,24,23,156,104,46,3,16,4,2,12.5,66.7,2005
350,Zach Wells,Metropolitan Oval,17,17,95,69,21,6,4,7,4,35.3,72.6,2005
351,Jonny Walker,Columbus Crew,16,16,87,66,18,6,8,2,5,37.5,75.9,2005
352,Tony Meola,Metropolitan Oval,15,15,117,83,28,6,5,4,2,40.0,70.9,2005
353,Jon Busch,Columbus Crew,9,9,50,34,14,3,5,1,3,33.3,68.0,2005
354,Byron Foss,Colorado Rapids,6,5,26,21,5,3,1,2,2,50.0,80.8,2005
355,Bill Gaudette,Columbus Crew,6,5,33,21,10,1,3,1,1,16.7,63.6,2005
356,Matt Pickens,Chicago FIre FC,5,3,15,10,4,2,2,1,0,40.0,66.7,2005
357,Sergio Garcia,Chivas USA,5,5,30,19,8,1,3,1,1,20.0,63.3,2005
358,Jay Nolly,Real Salt Lake,5,5,46,34,11,1,3,1,0,20.0,73.9,2005
359,Jeff Cassar,FC Dallas,4,4,21,13,7,0,2,1,0,0.0,61.9,2005
360,Martin Zuniga,Chivas USA,4,4,32,18,13,0,3,1,0,0.0,56.3,2005
361,David Mahoney,Chicago FIre FC,3,3,11,7,4,1,1,1,1,33.3,63.6,2005
362,Doug Warren,New England Revolution,2,1,7,4,2,1,0,0,0,50.0,57.1,2005
363,Troy Perkins,D.C. United,2,2,8,5,2,1,1,0,0,50.0,62.5,2005
364,Matt Jordan,Columbus Crew,2,2,16,13,3,1,0,1,0,50.0,81.3,2005
365,Dario Sala,FC Dallas,1,1,2,2,0,0,0,1,1,0.0,100.0,2005
366,Steve Cronin,LA Galaxy,1,1,5,3,2,0,0,1,0,0.0,60.0,2005
367,Bouna Coundoul,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
368,Chris Gomez,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
369,Martin Hutton,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
370,Shaun Kalnasy,Chivas USA,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
371,Noah Palmer,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
372,Kyle Singer,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
373,Andrew Terris,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
374,T.J. Tomasso,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
375,Michael Ueltschey,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
376,William Hesmer,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
377,Jon Conway,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
378,Robby Fulton,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
379,Josh Saunders,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
380,Andrew Weber,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
381,Javier Barragan,Chivas USA,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
382,Clint Baumstark,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
383,Michael Cardenas,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2005
384,Pat Onstad,Houston Dynamo FC,32,32,132,85,40,11,8,13,5,34.4,64.4,2006
385,Matt Reis,New England Revolution,32,32,182,141,35,12,8,12,10,37.5,77.5,2006
386,Scott Garlick,Real Salt Lake,31,31,158,108,43,10,12,9,4,32.3,68.4,2006
387,Troy Perkins,D.C. United,30,30,140,100,34,15,6,9,8,50.0,71.4,2006
388,Bo Oshoniyi,KC ,29,29,138,95,41,9,12,8,5,31.0,68.8,2006
389,Joe Cannon,Colorado Rapids,28,28,146,99,42,9,11,7,7,32.1,67.8,2006
390,Dario Sala,FC Dallas,28,28,129,93,34,14,10,4,5,50.0,72.1,2006
391,Kevin Hartman,LA Galaxy,28,28,120,88,32,10,12,6,9,35.7,73.3,2006
392,Zach Thornton,Chicago FIre FC,24,24,118,86,30,8,8,8,7,33.3,72.9,2006
393,Tony Meola,New York City,20,20,120,91,29,2,9,9,5,10.0,75.8,2006
394,Preston Burpo,Chivas USA,19,19,87,58,23,7,3,9,5,36.8,66.7,2006
395,Brad Guzan,Atlanta United,13,13,70,49,19,3,6,4,5,23.1,70.0,2006
396,Jon Conway,New York City,12,12,67,54,12,7,2,3,5,58.3,80.6,2006
397,Bill Gaudette,Columbus Crew,11,11,60,45,13,3,5,3,3,27.3,75.0,2006
398,Noah Palmer,Columbus Crew,10,10,56,40,13,1,5,4,1,10.0,71.4,2006
399,Jon Busch,Columbus Crew,8,8,45,34,9,3,3,2,3,37.5,75.6,2006
400,Matt Pickens,Chicago FIre FC,8,8,57,47,11,5,3,0,1,62.5,82.5,2006
401,Bouna Coundoul,Colorado Rapids,5,4,22,15,7,2,2,1,2,40.0,68.2,2006
402,Shaka Hislop,FC Dallas,4,4,25,13,10,2,2,0,0,50.0,52.0,2006
403,Steve Cronin,LA Galaxy,4,4,16,11,5,1,3,0,0,25.0,68.8,2006
404,Andy Gruenebaum,Columbus Crew,3,2,14,12,2,1,1,0,0,33.3,85.7,2006
405,William Hesmer,KC ,3,3,12,9,4,1,2,0,1,33.3,75.0,2006
406,Jay Nolly,Real Salt Lake,2,1,13,7,6,0,1,0,0,0.0,53.8,2006
407,Nick Rimando,D.C. United,2,2,10,6,4,0,1,1,0,0.0,60.0,2006
408,Jeff Cassar,FC Dallas,1,0,3,3,0,0,0,0,0,0.0,100.0,2006
409,Dan Popik,Columbus Crew,1,1,11,7,5,0,1,0,0,0.0,63.6,2006
410,T.J. Tomasso,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
411,Chase Harrison,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
412,Matt Jordan,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
413,Doug Warren,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
414,Jonny Walker,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
415,David Mahoney,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
416,Eric Kronberg,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
417,Ray Burse,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
418,Zach Wells,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
419,Josh Saunders,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
420,Nick Armington,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
421,Michael Behonick,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
422,Chris Dunsheath,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
423,Peter Dzubay,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
424,Martin Hutton,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
425,Dominik Jakubek,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
426,Ryan McIntosh,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2006
427,Bouna Coundoul,Colorado Rapids,30,30,158,120,32,9,12,8,9,30.0,75.9,2007
428,Kevin Hartman,KC ,30,30,159,110,45,11,12,7,5,36.7,69.2,2007
429,Matt Reis,New England Revolution,30,30,169,120,43,14,8,8,10,46.7,71.0,2007
430,Joe Cannon,LA Galaxy,29,29,171,119,46,9,13,7,5,31.0,69.6,2007
431,Troy Perkins,D.C. United,29,29,155,117,32,16,6,7,8,55.2,75.5,2007
432,Pat Onstad,Houston Dynamo FC,27,27,109,85,22,13,8,6,11,48.1,78.0,2007
433,Nick Rimando,Real Salt Lake,27,27,191,146,37,6,13,8,7,22.2,76.4,2007
434,Matt Pickens,Chicago FIre FC,27,27,137,102,31,9,8,10,10,33.3,74.5,2007
435,Brad Guzan,Atlanta United,27,27,119,87,25,14,6,7,13,51.9,73.1,2007
436,William Hesmer,Columbus Crew,20,20,99,71,29,8,7,5,5,40.0,71.7,2007
437,Ronald Waterreus,New York City,18,18,89,59,31,6,6,5,5,33.3,66.3,2007
438,Dario Sala,FC Dallas,18,18,97,64,29,8,7,3,5,44.4,66.0,2007
439,Jon Conway,New York City,14,12,79,57,14,6,5,2,4,42.9,72.2,2007
440,Kenny Stamatopoulos,Toronto FC,12,12,61,41,20,1,8,3,2,8.3,67.2,2007
441,Andy Gruenebaum,Columbus Crew,10,10,53,35,15,1,4,5,3,10.0,66.0,2007
442,Srdjan Djekanovic,Toronto FC,8,7,34,22,9,2,3,2,2,25.0,64.7,2007
443,Greg Sutton,Toronto FC,8,8,53,36,15,2,5,1,1,25.0,67.9,2007
444,Shaka Hislop,FC Dallas,6,6,32,23,9,2,3,1,0,33.3,71.9,2007
445,Ray Burse,FC Dallas,6,6,29,23,6,3,2,1,2,50.0,79.3,2007
446,Zach Wells,Houston Dynamo FC,4,3,9,8,1,2,0,1,2,50.0,88.9,2007
447,Preston Burpo,Chivas USA,3,3,16,13,3,1,1,1,1,33.3,81.3,2007
448,Jon Busch,Chicago FIre FC,3,3,20,15,5,1,2,0,1,33.3,75.0,2007
449,Chris Seitz,D.C. United,3,3,14,6,8,0,2,1,0,0.0,42.9,2007
450,Sam Reynolds,Toronto FC,2,2,11,9,2,1,0,1,0,50.0,81.8,2007
451,Zach Thornton,Colorado Rapids,1,0,3,1,2,0,1,0,0,0.0,33.3,2007
452,Jay Nolly,D.C. United,1,1,9,7,2,0,1,0,0,0.0,77.8,2007
453,Steve Cronin,LA Galaxy,1,1,8,6,2,0,1,0,0,0.0,75.0,2007
454,David Monsalve,Toronto FC,1,1,10,7,3,0,1,0,0,0.0,70.0,2007
455,Justin Myers,Chivas USA,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
456,Matt Wideman,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
457,Lance Friesz,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
458,Kyle Reynish,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
459,Jordan James,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
460,Nick Noble,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
461,Bill Gaudette,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
462,Justin Hughes,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
463,Shawn Crowe,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
464,Eric Kronberg,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
465,Chris Konopka,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
466,Boris Pardo,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
467,Brad Knighton,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
468,Danny Cepero,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
469,Tomer Chencinski,Toronto FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
470,Doug Warren,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2007
471,Nick Rimando,Real Salt Lake,30,30,140,96,39,10,10,10,8,33.3,68.6,2008
472,Jon Busch,Chicago FIre FC,30,30,156,122,33,13,10,7,10,43.3,78.2,2008
473,Kevin Hartman,KC ,30,30,162,117,39,11,10,9,10,36.7,72.2,2008
474,Joe Cannon,San Jose Earthquakes,30,30,166,124,38,8,13,9,9,26.7,74.7,2008
475,William Hesmer,Columbus Crew,29,29,132,97,33,17,6,6,10,58.6,73.5,2008
476,Matt Reis,New England Revolution,28,28,150,107,38,11,11,6,6,39.3,71.3,2008
477,Jon Conway,New York City,28,28,146,98,42,9,10,9,7,32.1,67.1,2008
478,Dario Sala,FC Dallas,28,28,131,92,37,8,8,12,7,28.6,70.2,2008
479,Pat Onstad,Houston Dynamo FC,24,24,105,76,24,10,4,9,7,41.7,72.4,2008
480,Greg Sutton,Toronto FC,24,24,160,116,35,7,10,7,6,29.2,72.5,2008
481,Steve Cronin,LA Galaxy,22,22,141,92,44,6,9,6,2,27.3,65.2,2008
482,Zach Wells,D.C. United,17,17,85,56,28,8,8,1,1,47.1,65.9,2008
483,Bouna Coundoul,Colorado Rapids,17,17,77,54,21,6,8,3,5,35.3,70.1,2008
484,Brad Guzan,Atlanta United,15,15,71,48,20,6,5,4,4,40.0,67.6,2008
485,Preston Burpo,Colorado Rapids,13,13,63,37,24,5,6,2,3,38.5,58.7,2008
486,Louis Crayton,D.C. United,12,12,64,43,19,3,6,3,4,25.0,67.2,2008
487,Dan Kennedy,Chivas USA,9,8,33,23,8,4,3,0,3,44.4,69.7,2008
488,Zach Thornton,Chivas USA,8,7,32,16,13,2,3,3,1,25.0,50.0,2008
489,Tony Caig,Houston Dynamo FC,7,6,36,24,8,3,1,3,3,42.9,66.7,2008
490,Josh Wicks,LA Galaxy,6,5,33,20,12,1,2,3,0,16.7,60.6,2008
491,Brian Edwards,Toronto FC,6,6,31,23,8,2,3,1,2,33.3,74.2,2008
492,Doug Warren,New England Revolution,3,2,10,5,5,1,0,1,0,33.3,50.0,2008
493,Josh Saunders,LA Galaxy,3,3,13,8,6,1,2,0,0,33.3,61.5,2008
494,Ray Burse,FC Dallas,2,2,16,12,4,0,2,0,0,0.0,75.0,2008
495,Danny Cepero,New York City,2,2,11,5,6,1,1,0,0,50.0,45.5,2008
496,Andy Gruenebaum,Columbus Crew,1,1,5,2,3,0,1,0,0,0.0,40.0,2008
497,Jose Carvallo,D.C. United,1,1,6,2,4,0,1,0,0,0.0,33.3,2008
498,Caleb Patterson-Sewell,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
499,Lance Parker,Chivas USA,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
500,Josh Lambo,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
501,Corbin Waller,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
502,Charles Alamo,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
503,Vito Higgins,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
504,Kenny Schoeni,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
505,David Monsalve,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
506,Justin Hughes,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
507,Eric Kronberg,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
508,Boris Pardo,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
509,Brad Knighton,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
510,Nick Noble,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
511,Terry Boss,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
512,Tyler Kettering,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
513,Andrew Kartunen,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
514,Chris Sharpe,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
515,Kyle Reynish,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
516,Chris Seitz,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
517,Mike Graczyk,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
518,Dan Benton,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
519,James Thorpe,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
520,Michael Gustavson,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2008
521,Pat Onstad,Houston Dynamo FC,30,30,121,89,29,13,8,9,10,43.3,73.6,2009
522,Jon Busch,Chicago FIre FC,30,30,136,103,34,11,7,12,10,36.7,75.7,2009
523,Kevin Hartman,KC ,30,30,153,105,42,8,13,9,7,26.7,68.6,2009
524,Kasey Keller,Seattle Sounders FC,29,29,108,78,26,12,5,11,10,41.4,72.2,2009
525,Joe Cannon,San Jose Earthquakes,28,28,147,97,47,6,14,8,3,21.4,66.0,2009
526,Zach Thornton,Chivas USA,27,27,111,83,23,12,9,6,12,44.4,74.8,2009
527,Donovan Ricketts,LA Galaxy,26,26,112,82,26,10,5,10,9,38.5,73.2,2009
528,Nick Rimando,Real Salt Lake,26,26,108,73,29,10,10,6,9,38.5,67.6,2009
529,Stefan Frei,Seattle Sounders FC,26,26,141,98,38,9,9,7,5,34.6,69.5,2009
530,Matt Reis,New England Revolution,24,24,140,114,23,10,8,6,8,41.7,81.4,2009
531,Josh Wicks,D.C. United,19,19,104,78,26,5,5,8,5,26.3,75.0,2009
532,Matt Pickens,Colorado Rapids,19,19,63,39,22,9,6,4,7,47.4,61.9,2009
533,William Hesmer,Columbus Crew,19,19,86,68,18,9,4,6,7,47.4,79.1,2009
534,Ray Burse,FC Dallas,17,16,92,62,27,4,8,5,1,23.5,67.4,2009
535,Dario Sala,FC Dallas,14,14,63,43,20,7,5,1,4,50.0,68.3,2009
536,Danny Cepero,New York City,13,13,85,62,21,2,8,3,0,15.4,72.9,2009
537,Preston Burpo,Colorado Rapids,11,11,41,23,16,1,4,6,1,9.1,56.1,2009
538,Andy Gruenebaum,Columbus Crew,10,10,36,21,12,4,2,4,1,40.0,58.3,2009
539,Jon Conway,Chivas USA,9,9,51,33,16,1,7,1,1,11.1,64.7,2009
540,Bouna Coundoul,New York City,8,8,46,32,10,2,4,2,2,25.0,69.6,2009
541,Josh Saunders,LA Galaxy,6,4,18,12,5,2,1,2,2,33.3,66.7,2009
542,Brad Knighton,New England Revolution,6,6,49,36,14,1,2,3,0,16.7,73.5,2009
543,Louis Crayton,D.C. United,6,6,31,21,8,2,1,3,1,33.3,67.7,2009
544,Milos Kocic,D.C. United,4,3,16,9,8,1,2,1,0,25.0,56.3,2009
545,Lance Parker,Chivas USA,4,3,19,11,8,1,2,0,1,25.0,57.9,2009
546,Chris Seitz,D.C. United,4,4,20,13,5,1,2,1,1,25.0,65.0,2009
547,Brian Edwards,Toronto FC,3,3,17,11,6,1,1,1,1,33.3,64.7,2009
548,Greg Sutton,Toronto FC,2,1,5,3,2,0,1,1,0,0.0,60.0,2009
549,Steve Cronin,D.C. United,2,2,12,9,2,1,0,1,1,50.0,75.0,2009
550,Andrew Weber,San Jose Earthquakes,2,2,17,11,3,1,0,1,0,50.0,64.7,2009
551,Kyle Reynish,Real Salt Lake,1,0,2,1,1,0,0,0,0,0.0,50.0,2009
552,Ben Dragavon,Seattle Sounders FC,1,0,3,2,1,0,1,0,0,0.0,66.7,2009
553,Alec Dufty,New York City,1,0,2,2,0,0,0,0,0,0.0,100.0,2009
554,Chris Eylander,Seattle Sounders FC,1,1,3,1,2,0,1,0,0,0.0,33.3,2009
555,Kenny Schoeni,Columbus Crew,1,1,5,4,1,0,1,0,0,0.0,80.0,2009
556,Josh Lambo,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
557,Dan Kennedy,Chivas USA,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
558,Mike Graczyk,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
559,Tally Hall,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
560,Nick Noble,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
561,Eric Kronberg,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
562,Boris Pardo,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
563,Zack Simmons,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
564,Terry Boss,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
565,Steward Ceus,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
566,Andrew Dykstra,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
567,Bobby Shuttleworth,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
568,Tyler Deric,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2009
569,Kasey Keller,Seattle Sounders FC,30,30,119,82,34,14,10,5,11,46.7,68.9,2010
570,William Hesmer,Columbus Crew,30,30,122,84,33,14,8,8,11,46.7,68.9,2010
571,Donovan Ricketts,LA Galaxy,29,29,104,79,26,18,7,4,11,62.1,76.0,2010
572,Matt Pickens,Colorado Rapids,29,29,120,88,32,11,8,10,7,37.9,73.3,2010
573,Jimmy Nielsen,KC ,29,29,114,80,34,10,13,6,10,34.5,70.2,2010
574,Stefan Frei,Seattle Sounders FC,28,28,153,108,37,8,13,7,8,28.6,70.6,2010
575,Bouna Coundoul,New York City,27,27,134,105,28,14,8,5,11,51.9,78.4,2010
576,Nick Rimando,Real Salt Lake,27,27,100,78,18,15,4,8,14,55.6,78.0,2010
577,Zach Thornton,Chivas USA,23,23,97,63,33,6,12,3,6,26.1,64.9,2010
578,Chris Seitz,D.C. United,23,22,114,68,41,5,12,6,0,21.7,59.6,2010
579,Pat Onstad,Houston Dynamo FC,23,23,90,49,40,6,12,5,4,26.1,54.4,2010
580,Troy Perkins,D.C. United,22,22,109,72,37,3,15,4,5,13.6,66.1,2010
581,Kevin Hartman,FC Dallas,20,20,71,56,12,10,1,8,9,50.0,78.9,2010
582,Jon Busch,San Jose Earthquakes,18,18,104,81,19,7,6,5,7,38.9,77.9,2010
583,Andrew Dykstra,Chicago FIre FC,17,17,80,55,21,5,6,6,5,29.4,68.8,2010
584,Matt Reis,New England Revolution,14,14,79,51,25,4,7,3,3,28.6,64.6,2010
585,Sean Johnson,New York City,13,13,69,52,17,4,6,3,3,30.8,75.4,2010
