,Player,Club,GamesPlayed,GamesStarted,ShotsFaced,SavesMade,GoalsAgainst,Wins,Losses,Ties,ShutOuts,WinsPercentage,SavePercentage,Year
67,Garth Lagerwey,FC Dallas,2,2,14,13,1,2,0,0,1,100.0,92.9,1996
68,Tom Liner,San Jose Earthquakes,2,2,19,14,4,0,2,0,0,0.0,73.7,1996
69,Marcus Roy,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
70,Jeff Cassar,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
71,Aidan Heaney,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
72,Tony Meola,Metropolitan Oval,31,31,234,164,62,14,17,0,4,45.2,70.1,1996
73,Kevin Hartman,LA Galaxy,29,28,143,103,39,22,7,0,7,75.9,72.0,1996
74,Marcus Hahnemann,Colorado Rapids,28,28,200,138,52,16,12,0,4,57.1,69.0,1996
75,Mike Ammann,KC ,27,27,132,85,42,11,16,0,5,40.7,64.4,1996
76,Ian Feuer,New England Revolution,26,26,179,112,55,8,15,0,5,30.8,62.6,1996
77,Zach Thornton,Chicago FIre FC,25,23,118,85,27,16,8,0,8,64.0,72.0,1996
78,Scott Garlick,D.C. United,25,25,129,88,35,19,5,0,7,76.0,68.2,1996
79,Mark Dodd,FC Dallas,25,24,179,134,42,11,13,0,6,44.0,74.9,1996
80,David Kramer,San Jose Earthquakes,24,24,132,82,39,10,14,0,5,41.7,62.1,1996
81,Thomas Ravelli,TB ,23,23,179,131,38,7,13,0,2,30.4,73.2,1996
82,Juergen Sommer,Columbus Crew,21,21,143,106,35,11,10,0,4,52.4,74.1,1996
83,Jeff Cassar,Inter Miami CF,21,21,151,107,41,12,9,0,2,57.1,70.9,1996
84,Doug Petras,TB ,12,9,70,49,19,5,7,0,1,41.7,70.0,1996
85,Mark Dougherty,Columbus Crew,11,11,77,49,21,4,6,0,1,36.4,63.6,1996
86,Jeff Causey,New England Revolution,9,6,35,24,11,3,6,0,0,33.3,68.6,1996
87,Andy Kirk,San Jose Earthquakes,9,8,56,34,21,3,5,0,2,33.3,60.7,1996
88,Jorge Campos,Chicago FIre FC,9,8,48,33,15,4,3,0,0,44.4,68.8,1996
89,Garth Lagerwey,FC Dallas,8,7,44,28,14,4,3,0,0,50.0,63.6,1996
90,Tom Presthus,D.C. United,6,5,28,19,8,5,1,0,0,83.3,67.9,1996
91,Matt Reis,LA Galaxy,5,4,24,18,5,2,1,0,0,40.0,75.0,1996
92,Chris Snitko,KC ,5,5,27,18,8,1,4,0,1,20.0,66.7,1996
93,David Winner,Chicago FIre FC,4,3,23,16,6,2,2,0,0,50.0,69.6,1996
94,Paul Grafer,Colorado Rapids,4,4,39,20,17,0,4,0,0,0.0,51.3,1996
95,Matt Napoleon,Inter Miami CF,4,4,45,32,12,1,3,0,0,25.0,71.1,1996
96,Scott Budnick,Inter Miami CF,3,3,24,16,8,0,3,0,0,0.0,66.7,1996
