,Player,Club,Position,GamesPlayed,GamesStarted,MinutesPlayed,GoalsScored,Assists,Shots,ShotsOnGoal,GameWinningGoal,HomeGoals,RoadGoals,GoalsPer90Minutes,ShotConversion,GameWinningAssists,HomeAssists,RoadAssists,AssistsPer90Min,FoulsCommitted,FoulsSufferred,Offsides,YellowCards,RedCards,Year,Season
4242,Kortne Ford,COL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4243,Francis Atuahene,DAL,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4244,Patrick Seagrist,RBNY,D,3,3,246,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,1,0,2020,reg
4245,Chris Lema,RBNY,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4246,Luiz Fernando,ATL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4247,Rocco Romeo,TOR,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4248,Shamit Shome,MTL,M,12,4,282,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,2020,reg
4249,Isaac Angking,NE,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4250,Luis Arriaga,RSL,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4251,Marcelo Palomino,HOU,M,3,0,21,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,2020,reg
4252,Nicolas Firmino,NE,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4253,Wilson Harris,SKC,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4254,Alvin Jones,RSL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4255,Harry Shipp,SEA,M,2,0,38,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,1,0,0,2020,reg
4256,Tommy McCabe,CIN,M,1,0,12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4257,Foster Langsdorf,MIN,M,1,0,10,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4258,Renzo Zambrano,POR,M,5,1,98,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,3,0,1,0,2020,reg
4259,Janio Bikel,VAN,D,12,12,948,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,25,18,0,5,1,2020,reg
4260,George Acosta,MIA,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4261,Justin Dhillon,SEA,F,1,0,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4262,Josue Colman,ORL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4263,Danilo Acosta,LA,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4264,Luis Alberto Caicedo,NE,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4265,Abdul Rwatubyaye,COL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4266,Andrew Carleton,ATL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4267,Deklan Wynne,COL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4268,Noah Billingsley,MIN,D,1,0,6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4269,Pablo Aranguiz,DAL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4270,Tanner Dieterich,NSH,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4271,Jack Skahan,SJ,M,1,0,11,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,2020,reg
4272,Gedion Zelalem,NYC,M,1,0,14,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4273,Josh Sims,NY,M,2,0,45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4274,Luke Mulholland,RSL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4275,Alex De John,ORL,D,6,0,54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,2020,reg
4276,Michael Salazar,HOU,F,1,0,12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,1,0,2020,reg
4277,Caleb Stanko,CIN,M,13,5,470,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,16,6,0,3,0,2020,reg
4278,Ken Tribbett,NSH,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4279,Alejandro Guido,LAFC,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4280,Andrew Farrell,NE,D,20,19,1711,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,9,15,0,2,0,2020,reg
4281,Eriq Zavaleta,TOR,D,5,3,282,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4282,Sebastien Ibeagha,NYC,D,7,2,282,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,1,0,2020,reg
4283,Waylon Francis,CLB,D,4,2,196,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,2020,reg
4284,James Musa,MIN,D-M,6,2,155,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,5,0,0,1,0,2020,reg
4285,Jordan Hamilton,CLB,F,2,0,13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0,1,0,0,2020,reg
4286,Jerome Kiesewetter,MIA,F,2,0,23,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4287,Darren Mattocks,CIN,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4288,Ashtone Morgan,RSL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4289,Brayan Beckeles,NSH,D,2,1,72,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,2,0,2020,reg
4290,Oriol Rosell,ORL,M-D,8,8,585,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,16,3,0,2,0,2020,reg
4291,Jimmy McLaughlin,CIN,M,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4292,Vito Wormgoor,CLB,D,2,2,107,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,2020,reg
4293,Aurelien Collin,PHI,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4294,Antonio Mlinar Delamea,NE,D,5,4,319,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,2020,reg
4295,Seth Sinovic,NE,D,1,0,13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4296,Kamohelo Mokotjo ,CIN,M,9,6,551,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,5,0,0,0,2020,reg
4297,A.J. DeLaGarza,MIA,D,5,5,427,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,7,3,1,0,0,2020,reg
4298,Danilo Silva,LFC,D,1,1,39,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,2020,reg
4299,Botond Barath,SKC,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4300,Felipe Gutiérrez,SKC,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4301,Steven Beitashour,COL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4302,Jack Maher,NSH,D,3,2,127,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,2020,reg
4303,Sebastian Anderson,COL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4304,Edwin Cerrillo,DAL,M,2,0,17,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4305,Thomas Roberts,DAL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4306,George Campbell,ATL,D,1,0,46,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,2020,reg
4307,Clement Bayiha,MTL,M,4,1,66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,2020,reg
4308,Mathieu Choiniere,MTL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4309,Jacob Akanyirige,SJ,D,1,1,69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4310,Gilbert Fuentes,SJ,M,1,0,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4311,Andre Reynolds II,CHI,D,2,0,16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4312,Nicholas Slonina,CHI,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4313,John Tolkin,RBNY,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4314,Damian Rivera,NE,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4315,Alfonso Ocampo-Chavez,SEA,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4316,Erik McCue,HOU,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4317,Josh Atencio,SEA,M,5,0,11,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,2020,reg
4318,Julian Vazquez,RSL,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4319,Justin Haak,NYC,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4320,Joe Scally,NYC,D,4,1,70,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,2020,reg
4321,Ema Twumasi,DAL,F,4,0,35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,2020,reg
4322,Kyle Adams,HOU,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4323,Alexander Alvarado,ORL,F,2,0,25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,2020,reg
4324,Tayvon Gray,NYC,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4325,Diedie Traore,LA,D,6,0,85,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,5,0,0,0,2020,reg
4326,Jack de Vries,PHI,M-F,4,0,12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,2020,reg
4327,Cole Turner,PHI,M,1,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4328,Tyler Freeman,SKC,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4329,Danny Leyva,SEA,M,2,1,56,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,2020,reg
4330,Javier Casas,CHI,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4331,Tyler Wolff,ATL,M,5,1,118,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,0,0,2020,reg
4332,Simon Colyn,VAN,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4333,Damiano Pecile,VAN,M,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4334,Gianfranco Facchineri,VAN,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4335,Alex Monis,CHI,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4336,Justin Che,DAL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4337,Christopher Garcia,RSL,F,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4338,Casey Walls,SJ,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4339,Keesean Ferdinand,MTL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4340,Tomas Giraldo,MTL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4341,Michael Halliday,ORL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4342,Nicolas Acevedo,NYC,M,12,1,128,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,5,2,0,1,0,2020,reg
4343,Sam Gleadle,MIN,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4344,Michee Ngalina,PHI,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4345,Steeven Saba,MTL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4346,Carlos Harvey,LA,M,6,1,104,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,1,0,2020,reg
4347,Will Vint,COL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4348,Mateo Bajamich,HOU,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4349,Santiago Patiño,ORL,F,2,0,8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4350,Callum Montgomery,DAL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4351,Jonathan Perez,LA,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4352,Erik Dueñas,LAFC,D,2,0,34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,1,0,2020,reg
4353,Miguel Berry,CLB,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4354,Nkosi Burgess,DAL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4355,Luke Haakenson,NSH,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4356,Tony Leone,LAFC,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4357,Zac McGraw,POR,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4358,Mohamed Traore,LAFC,D,1,1,45,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4359,Carlos Teran,CHI,D,2,0,14,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4360,Jacob Shaffelburg,TOR,M-F,4,1,125,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,2020,reg
4361,Siad Haji,SJ,M,4,0,49,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,2020,reg
4362,Brian Gutierrez,CHI,M,6,0,27,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,2020,reg
4363,Jahkeele Marshall-Rutty,TOR,M,1,0,18,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4364,Ethan Dobbelaere,SEA,M,1,1,54,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,2020,reg
4365,Thomas Chacon,MIN,M,4,1,172,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,3,6,1,1,0,2020,reg
4366,Jordan Bender,ORL,M,2,1,46,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,0,0,2020,reg
4367,Ralph Priso,TOR,M,4,1,158,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,2020,reg
4368,Collen Warner,COL,M,7,4,263,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,11,1,0,1,0,2020,reg
4369,Johan Kappelhof,CHI,D,4,2,200,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,2020,reg
4370,Mathieu Deplagne,CIN,D,15,13,1175,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,19,11,0,6,0,2020,reg
4371,Jorge Moreira,POR,D,1,1,89,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,2020,reg
4372,Matt Besler,SKC,D,10,9,810,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,10,9,0,1,0,2020,reg
4373,Rod Fanni,MTL,D,12,10,946,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,2020,reg
4374,Michael Mancienne,NE,D,5,4,316,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,1,0,2020,reg
4375,Warren Creavalle,PHI,M,11,4,379,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,6,6,0,2,0,2020,reg
4376,Mohammed Abu,DC,M,6,4,332,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,2,0,2020,reg
4377,Josef Martinez,ATL,F,1,1,69,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,2020,reg
4378,Adama Diomande,LFC,F,1,0,16,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4379,Chris Duvall,POR,D,10,9,745,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,11,4,0,3,0,2020,reg
4380,Micheal Azira,CHI,M,6,1,125,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,2020,reg
4381,Eric Miller,NSH,D,6,5,435,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,0,0,2020,reg
4382,Alvas Powell,MIA,D,4,2,197,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,1,0,2020,reg
4383,Alejandro Fuenmayor,HOU,D,5,3,301,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,1,0,2020,reg
4384,Oniel Fisher,DC,D,15,6,673,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,15,6,1,1,0,2020,reg
4385,Amro Tarek,RBNY,D,12,10,935,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,19,9,1,3,0,2020,reg
4386,Brent Kallman,MIN,D,4,3,271,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,2020,reg
4387,Graham Smith,SKC,D,4,4,315,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,4,2,0,2,0,2020,reg
4388,Ronaldo Peña,HOU,F,1,0,38,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,2020,reg
4389,Jimmy Medranda ,SEA,D,3,0,20,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2020,reg
4390,Zico Bailey,CIN,D,5,3,296,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,3,3,0,1,0,2020,reg
4391,Luis Felipe,SJ,M,5,2,197,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,2020,reg
4392,Shandon Hopeau,SEA,F,5,1,81,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,2020,reg
4393,Brandt Bronico,CHI,M,10,3,275,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,1,0,2020,reg
4394,Rodrigo Schlegel,ORL,D,10,7,645,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,10,4,0,4,0,2020,reg
4395,Tate Schmitt,RSL,M,4,3,254,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,0,0,2020,reg
4396,Rashawn Dally,CIN,F,4,0,68,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,2020,reg
4397,Erik Holt,RSL,D,7,4,383,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,6,1,0,1,0,2020,reg
4398,Matt LaGrassa,NSH,M,8,4,376,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,0,0,2020,reg
4399,Cameron Duke,SKC,M,8,2,218,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,4,5,0,1,0,2020,reg
4400,Justin Portillo ,RSL,M,5,3,265,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,1,0,2020,reg
4401,Marlon Hairston,MIN,M,9,4,405,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,5,7,0,1,0,2020,reg
4402,Nico Lemoine,HOU,F,11,0,163,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,2,10,0,1,0,2020,reg
4403,Justin Rennicks,NE,F,4,0,29,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,2020,reg
4404,Saad Abdul-Salaam,CIN,D,8,5,424,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,4,5,1,0,0,2020,reg
4405,Axel Sjöberg,DC,D,2,2,171,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,2020,reg
4406,Joey DeZart,ORL,M,11,4,373,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0,2020,reg
4407,Luka Stojanovic,CHI,M,2,1,60,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,2020,reg
4408,Erik Godoy,VAN,D,12,11,940,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,10,5,1,0,1,2020,reg
4409,Scott Caldwell,NE,M,18,15,1155,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,26,9,0,4,1,2020,reg
4410,Dairon Asprilla,POR,M-F,3,0,46,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,2020,reg
4411,Jay Chapman,MIA,M,8,2,200,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,7,1,0,1,0,2020,reg
4412,Shane O'Neill,SEA,D,18,13,1238,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,16,3,0,3,0,2020,reg
4413,Brad Smith,SEA,D,5,1,148,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,2020,reg
4414,Wilfried Zahibo,HOU,M,7,3,298,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,15,3,1,2,0,2020,reg
4415,Laurent Ciman,TOR,D,12,5,530,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,9,4,0,2,0,2020,reg
4416,Fernando Meza,ATL,D,13,13,1073,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,17,8,2,2,0,2020,reg
4417,Edgar Castillo,ATL,D,4,1,145,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,2020,reg
4418,Jonathan dos Santos,LA,M,13,7,700,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,6,5,0,1,0,2020,reg
4419,Danny Wilson,COL,D,9,9,742,0,0,2,1,0,0,0,0.0,0.0,0,0,0,0.0,11,3,1,1,1,2020,reg
4420,Aljaz Struna,HOU,D,17,16,1436,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,21,9,1,6,0,2020,reg
4421,Perry Kitchen,LA,M,21,19,1723,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,39,23,0,6,0,2020,reg
4422,Aidan Morris,CLB,M,10,2,360,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,8,5,0,3,0,2020,reg
4423,Karifa Yao,MTL,D,2,1,127,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,0,0,2020,reg
4424,Dante Sealy,DAL,F,5,0,49,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,4,3,0,0,0,2020,reg
4425,Jasser Khmiri,VAN,D,5,5,387,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,2,0,2020,reg
4426,Emil Cuello,LA,M,11,2,232,0,0,2,2,0,0,0,0.0,0.0,0,0,0,0.0,14,2,1,1,0,2020,reg
4427,Cameron Dunbar,LA,F,4,1,82,0,0,3,0,0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,2020,reg
4428,Jayden Nelson,TOR,F,7,1,141,0,0,3,0,0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,2,0,2020,reg
4429,Franko Kovacevic,CIN,F,1,1,90,0,0,3,1,0,0,0,0.0,0.0,0,0,0,0.0,0,6,0,0,0,2020,reg
4430,Dru Yearwood,RBNY,M,12,8,612,0,0,3,1,0,0,0,0.0,0.0,0,0,0,0.0,17,6,0,3,0,2020,reg
4431,Bryce Duke,LAFC,M,11,2,234,0,0,3,1,0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,0,0,2020,reg
4432,Guram Kashia,SJ,D,6,6,488,0,0,3,1,0,0,0,0.0,0.0,0,0,0,0.0,9,2,0,1,0,2020,reg
