Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Bryan Jordan,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Tony Beltran,,D,2,1,98,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,,2011,post
Taylor Graham,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Todd Dunivant,,D,4,4,360,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,4,0,0,0,,2011,post
Hunter Freeman,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Arturo Alvarez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Dax McCarty,,M,2,2,123,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,,2011,post
Maykel Galindo,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Colin Clark,,M,1,0,12,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,post
Jack Stewart,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Nat Borchers,,D,1,1,84,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Blake Wagner,,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Anthony Wallace,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Patrick Ianni,,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Shavar Thomas,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Nate Jaqua,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Carl Robinson,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Stefani Miglioranzi,,M,1,1,62,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,1,0,,2011,post
Gregg Berhalter,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Nick Kounenakis ,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Conor Casey,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Frankie Hejduk,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Jovan Kirovski,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Daniel Cruz,,M,1,0,23,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,post
Eddie Robinson,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Tyrone Marshall,,D,1,0,21,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,1,,2011,post
Chris Albright,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Koke,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Carlos Ruiz,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Jeff Cunningham,,F,1,0,15,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Pablo Mastroeni,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Blaise Nkufo,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Dasan Robinson,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Brad Evans,,D-M,2,2,111,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2011,post
Danny O'Rourke,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Jason Garey,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
James Riley,,D,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,0,0,,2011,post
Kevin Burns,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Bobby Boswell,,D,4,4,360,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,4,0,1,0,,2011,post
Michael Harrington,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Tyson Wahl,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Ricardo Villar,,M,1,1,82,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,3,0,0,0,,2011,post
David Ferreira,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Milton Rodriguez,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Pat Noonan,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Chad Marshall,,D,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2011,post
Craig Rocastle,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Ryan Smith,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Emilio Rentería,,F,1,0,25,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Mauro Rosales,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Omar Bravo,,F,1,0,5,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Eddie Gaven,,M,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2011,post
Servando Carrasco,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Mike Jones,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Bobby Warshaw,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Josue Soto,,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Ryan Richter,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Will Bruin,,F,3,0,37,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Alex Dixon,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Kofi Sarkodie,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Moises Hernandez,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Victor Ulloa,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Jonathan Top,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Chris Agorsor,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Sacir Hot,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Jack McBean,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Scott Lorenz,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Fabian Castillo,,M-F,1,0,8,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Konrad Warzycha,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Kevin Ellis,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Danny Earls,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Tony Tchani,,M,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2011,post
Leonardo,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Andre Akpan,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Shaun Francis,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Bryan Leyva,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Andrew Wiedeman,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Ruben Luna,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Paulo Jr.,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Zach Pfeffer,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Matt Kassel,,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Rich Balchan,,D,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Andy Adlard,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Bernardo Añor,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Justin Meram,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Eric Gehrig,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Cole Grossman,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Sebastián Miranda,,D,1,1,70,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,1,0,,2011,post
Dejan Rusmir,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Amadou Sanyang,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Cody Arnoux,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Nelson González,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Matt Besler,,D,3,3,270,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,1,0,0,,2011,post
Steve Zakuani,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Korede Aiyegbusi,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Seth Sinovic,,D,3,3,265,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,3,0,0,0,,2011,post
David Estrada,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Zach Loyd,,D,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,2,0,0,0,,2011,post
Edson Edward,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Birahim Diop,,M,1,0,11,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Francisco Navas Cobo,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Jordan Graye,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Collen Warner,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Daneil Cyrus,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Peterson Joseph,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Michael Stephens,,M,2,0,12,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Amobi Okugo,,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Kyle Nakazawa,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Lawrence Olum,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Morgan Langley,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Yordany Álvarez,,M,1,0,14,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Nico Muñiz,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Mike Seamon,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Miguel López,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Joseph Nane,,M,1,1,56,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,1,0,,2011,post
Juan Diego González,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Miguel Montaño,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Sean Alvarado,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Levi Houapeu,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Gabriel Farfan,,M,2,2,157,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,3,0,2,0,,2011,post
Tyler Lassiter,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Josh Janniere,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Donny Toia,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Teddy Schneider,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Je-Vaughn Watson,,D,3,0,64,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,1,0,0,,2011,post
Eddie Ababio,,D,1,0,10,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Santiago Prim,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Aaron Horton,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Artur Aghasyan,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Soony Saad,,F,2,0,4,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,post
Ben Sippola,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Tom Heinemann,,F,1,0,5,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Korey Veeder,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Josh Williams,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Michael Tetteh,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Dan Keat,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Hector Jimenez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Dustin McCarty,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Paolo Cardozo,,M,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Ryan Thomas,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Corey Hertzog,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Marcos Paullo,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Davy Armstrong,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Steven Emory,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,post
Juan Agudelo,,F,1,0,26,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2011,post
Daniel Hernandez,,M,1,1,90,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,2011,post
Jéferson,,M,2,0,20,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2011,post
Zach Scott,,D,1,1,90,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,2011,post
Scott Palguta,,D,2,1,121,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,post
Leonardo González,,D,2,2,180,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,2011,post
Chris Schuler,,D,3,2,238,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2011,post
Ross LaBauex,,M,2,1,96,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,2011,post
Tim Ream,,D,3,3,270,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,100,2011,post
Wells Thompson,,D,3,2,202,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2011,post
Marvell Wynne,,D,3,3,270,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2011,post
Jermaine Taylor,,D,2,1,141,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,100,2011,post
Caleb Folan,,F,2,2,113,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,2,2,3,0,0,100,2011,post
Jan Gunnar Solli,,D,2,2,169,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2011,post
Teemu Tainio,,M,3,3,196,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2011,post
Miguel Comminges,,D,3,3,270,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2011,post
Ugo Ihemelu,,D,1,1,90,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2011,post
Drew Moor,,D,2,2,149,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2011,post
Carlos Mendes,,D,2,1,98,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,post
Stephen Keel,,D,3,3,270,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,100,2011,post
Roger Espinoza,,M,3,3,210,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,4,0,2,0,0,2011,post
Stéphane Auvray,,M,1,0,74,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,post
Quincy Amarikwa,,F,1,0,45,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,2011,post
George John,,D,1,1,90,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2011,post
Corey Ashe,,M,4,4,354,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,2011,post
Andrew Jacobson,,M,1,1,67,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,post
Jamie Smith,,M,1,1,74,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,2011,post
Veljko Paunovic,,F,1,1,67,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,50,2011,post
Chris Birchall,,M,4,1,157,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,50,2011,post
Danny Califf,,D,2,2,180,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,post
Davy Arnaud,,M,3,0,81,0,0,2,2,0,0/0,0,0,0,0,0,0,0,0,2,2,1,1,0,100,2011,post
Andy Williams,,M,3,3,222,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,4,2,0,0,0,50,2011,post
Jair Benítez,,D,1,1,90,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,2011,post
Roy Miller,,D,3,3,270,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2011,post
Robbie Rogers,,D,1,1,90,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2011,post
Juninho,,M,3,3,270,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,3,2,0,1,1,50,2011,post
Josh Gardner,,M,1,1,90,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,1,2,0,0,0,50,2011,post
Sammy Ochoa,,F,2,1,77,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2011,post
Maicon Santos,,F,1,0,17,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2011,post
Roger Torres,,M,2,0,45,0,0,2,2,0,0/0,0,0,0,0,0,0,0,0,2,1,0,0,0,100,2011,post
Dilly Duka,,M,1,1,65,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,2,1,0,0,0,50,2011,post
Luis Gil,,M,3,0,22,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2011,post
Sheanon Williams,,D-M,2,2,180,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,3,4,1,1,0,33.33,2011,post
Jack McInerney,,F,2,1,118,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,1,4,0,0,0,33.33,2011,post
Roger Levesque,,M,2,0,82,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2011,post
Will Johnson,,D,3,3,270,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,2,3,0,0,0,66.67,2011,post
Robbie Russell,,D,3,3,250,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,3,2,0,0,0,66.67,2011,post
Chad Barrett,,F,3,3,211,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,2,1,0,0,0,33.33,2011,post
Adam Cristman,,F,3,1,89,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2011,post
Andrés Mendoza,,F,1,1,90,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,0,1,4,0,0,33.33,2011,post
Erik Friberg,,M,2,1,120,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2011,post
Álvaro Fernández,,M,2,2,91,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2011,post
Danny Cruz,,M-F,4,4,290,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,4,9,1,1,0,33.33,2011,post
Macoumba Kandji,,F,3,0,102,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,2,3,0,0,0,66.67,2011,post
Geoff Cameron,,D,4,4,360,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,66.67,2011,post
Brek Shea,,D,1,1,90,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,33.33,2011,post
Adam Moffat,,M,4,4,360,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,2011,post
Jeff Parke,,D,2,2,180,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,1,4,0,0,0,25,2011,post
Kyle Beckerman,,M,3,3,270,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2011,post
Freddy Adu,,F,2,0,37,0,0,4,2,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,2011,post
Jeff Larentowicz,,M,3,3,270,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2011,post
Carlos Valdés,,D,2,2,180,0,0,4,3,0,0/0,0,0,0,0,0,0,0,0,4,0,0,1,0,75,2011,post
Mike Fucito,,F,2,1,103,0,0,5,2,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,40,2011,post
Marvin Chávez,,M,1,1,73,0,0,5,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,post
Danny Mwanga,,F,2,2,142,0,0,5,1,0,0/0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,2011,post
Brian Carroll,,M,2,2,180,0,0,5,2,0,0/0,0,0,0,0,0,0,0,0,4,0,0,1,0,40,2011,post
Jackson Goncalves,,M,1,1,90,0,0,6,4,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,66.67,2011,post
Rafa Márquez,,M,2,2,180,0,0,7,1,0,0/0,0,0,0,0,0,0,0,0,0,7,0,0,1,14.29,2011,post
Fabian Espindola,,F,3,3,270,0,0,7,3,0,0/0,0,0,0,0,0,0,0,0,6,5,7,1,0,42.86,2011,post
Sanna Nyassi,,M,3,3,269,0,0,7,4,0,0/0,0,0,0,0,0,0,0,0,6,2,3,2,0,57.14,2011,post
Kei Kamara,,F,3,3,269,0,0,8,4,0,0/0,0,0,0,0,0,0,0,0,3,5,2,0,0,50,2011,post
Robbie Keane,,F,6,6,540,6,1,18,10,2,2-Feb,3,3,1,33.3,0,1,0,0.17,6,9,4,0,0,55.56,2012,post
