Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Cobi Jones,,M,3,2,142,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,4,0,0,0,,2004,post
Eddie Pope,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,1,0,,2004,post
Santino Quaranta,,M-F,2,0,15,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Craig Ziadie,,D,1,1,58,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,,2004,post
Jay Heaps,,D,3,3,300,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,11,5,0,1,0,,2004,post
Brian Kamler,,M,1,0,39,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Rusty Pierce,,D,3,3,300,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,1,0,,2004,post
Eliseo Quintanilla,,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Dante Washington,,F,2,1,85,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,1,0,0,,2004,post
Nelson Akwari,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Brandon Prideaux,,D,2,0,47,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2004,post
Eric Denton,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Chris Leitch,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,4,0,0,0,,2004,post
Mark Lisi,,M,2,0,41,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,,2004,post
Nick Garcia,,D,4,4,360,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,5,4,0,0,0,,2004,post
