Player,Club,POS,GP,GS,SHTS,SV,GA,W,L,T,ShO,W%,Sv%,Year,Season
Dario Sala,DAL,GK,14,14,63,43,20,7,5,1,4,50,68.3,2009,reg
Danny Cepero,NY ,GK,13,13,85,62,21,2,8,3,0,15.4,72.9,2009,reg
Preston Burpo,COL,GK,11,11,41,23,16,1,4,6,1,9.1,56.1,2009,reg
Andy Gruenebaum,CLB,GK,10,10,36,21,12,4,2,4,1,40,58.3,2009,reg
Jon Conway,CHV,GK,9,9,51,33,16,1,7,1,1,11.1,64.7,2009,reg
Bouna Coundoul,NY ,GK,8,8,46,32,10,2,4,2,2,25,69.6,2009,reg
Josh Saunders,LA ,GK,6,4,18,12,5,2,1,2,2,33.3,66.7,2009,reg
Brad Knighton,NE,GK,6,6,49,36,14,1,2,3,0,16.7,73.5,2009,reg
Louis Crayton,DC ,GK,6,6,31,21,8,2,1,3,1,33.3,67.7,2009,reg
Milos Kocic,DC ,GK,4,3,16,9,8,1,2,1,0,25,56.3,2009,reg
Lance Parker,CHV,GK,4,3,19,11,8,1,2,0,1,25,57.9,2009,reg
Chris Seitz,DC,GK,4,4,20,13,5,1,2,1,1,25,65,2009,reg
Brian Edwards,TOR,GK,3,3,17,11,6,1,1,1,1,33.3,64.7,2009,reg
Greg Sutton,TOR,GK,2,1,5,3,2,0,1,1,0,0,60,2009,reg
Steve Cronin,DC ,GK,2,2,12,9,2,1,0,1,1,50,75,2009,reg
Andrew Weber,SJ ,GK,2,2,17,11,3,1,0,1,0,50,64.7,2009,reg
Kyle Reynish,RSL,GK,1,0,2,1,1,0,0,0,0,0,50,2009,reg
Ben Dragavon,SEA,GK,1,0,3,2,1,0,1,0,0,0,66.7,2009,reg
Alec Dufty,NY ,GK,1,0,2,2,0,0,0,0,0,0,100,2009,reg
Chris Eylander,SEA,GK,1,1,3,1,2,0,1,0,0,0,33.3,2009,reg
Kenny Schoeni,CLB,GK,1,1,5,4,1,0,1,0,0,0,80,2009,reg
Josh Lambo,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Dan Kennedy,CHV,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Mike Graczyk,SJ ,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Tally Hall,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Nick Noble,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Eric Kronberg,KC ,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Boris Pardo,KC ,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Zack Simmons,NE ,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Terry Boss,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Steward Ceus,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Andrew Dykstra,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Bobby Shuttleworth,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Tyler Deric,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2009,reg
Kasey Keller,SEA,GK,30,30,119,82,34,14,10,5,11,46.7,68.9,2010,reg
William Hesmer,CLB,GK,30,30,122,84,33,14,8,8,11,46.7,68.9,2010,reg
Donovan Ricketts,LA ,GK,29,29,104,79,26,18,7,4,11,62.1,76,2010,reg
Matt Pickens,COL,GK,29,29,120,88,32,11,8,10,7,37.9,73.3,2010,reg
Jimmy Nielsen,KC ,GK,29,29,114,80,34,10,13,6,10,34.5,70.2,2010,reg
Stefan Frei,SEA,GK,28,28,153,108,37,8,13,7,8,28.6,70.6,2010,reg
Bouna Coundoul,NY ,GK,27,27,134,105,28,14,8,5,11,51.9,78.4,2010,reg
Nick Rimando,RSL,GK,27,27,100,78,18,15,4,8,14,55.6,78,2010,reg
Zach Thornton,CHV,GK,23,23,97,63,33,6,12,3,6,26.1,64.9,2010,reg
Chris Seitz,DC,GK,23,22,114,68,41,5,12,6,0,21.7,59.6,2010,reg
Pat Onstad,HOU,GK,23,23,90,49,40,6,12,5,4,26.1,54.4,2010,reg
Troy Perkins,DC ,GK,22,22,109,72,37,3,15,4,5,13.6,66.1,2010,reg
Kevin Hartman,DAL,GK,20,20,71,56,12,10,1,8,9,50,78.9,2010,reg
Jon Busch,SJ ,GK,18,18,104,81,19,7,6,5,7,38.9,77.9,2010,reg
Andrew Dykstra,CHI,GK,17,17,80,55,21,5,6,6,5,29.4,68.8,2010,reg
Matt Reis,NE ,GK,14,14,79,51,25,4,7,3,3,28.6,64.6,2010,reg
Sean Johnson,NYC,GK,13,13,69,52,17,4,6,3,3,30.8,75.4,2010,reg
Joe Cannon,SJ ,GK,12,12,55,38,14,6,4,2,6,50,69.1,2010,reg
Preston Burpo,NE ,GK,11,11,65,48,16,2,6,2,2,18.2,73.8,2010,reg
Dario Sala,DAL,GK,11,10,50,34,16,2,3,6,1,18.2,68,2010,reg
Brad Knighton,NE,GK,8,8,33,23,8,3,3,1,2,37.5,69.7,2010,reg
Bill Hamid,DC,GK,8,8,31,20,10,3,5,0,1,37.5,64.5,2010,reg
Dan Kennedy,CHV,GK,7,6,31,22,8,2,4,1,0,28.6,71,2010,reg
Bobby Shuttleworth,CHI,GK,6,5,27,18,9,3,3,0,1,50,66.7,2010,reg
Tally Hall,HOU,GK,5,5,26,18,8,1,3,1,1,20,69.2,2010,reg
Kyle Reynish,RSL,GK,3,3,13,11,2,0,0,3,1,0,84.6,2010,reg
Greg Sutton,NY ,GK,3,3,10,9,1,1,1,1,2,33.3,90,2010,reg
Milos Kocic,TOR,GK,2,1,8,5,3,1,0,1,0,50,62.5,2010,reg
Tyler Deric,HOU,GK,2,2,9,8,1,2,0,0,1,100,88.9,2010,reg
Terry Boss,SEA,GK,1,0,2,1,1,0,0,1,0,0,50,2010,reg
Jon Conway,TOR,GK,1,1,2,2,1,0,0,0,0,0,100,2010,reg
Eric Kronberg,KC ,GK,1,1,4,3,1,1,0,0,0,100,75,2010,reg
Kevin Guppy,CHV,GK,1,1,9,6,3,0,1,0,0,0,66.7,2010,reg
Josh Saunders,LA ,GK,1,1,1,1,0,0,0,1,1,0,100,2010,reg
Ian Joyce,COL,GK,1,1,4,4,0,1,0,0,1,100,100,2010,reg
Josh Lambo,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Josh Wicks,DC ,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Kenny Schoeni,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Steward Ceus,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Andrew Weber,SJ ,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Andy Gruenebaum,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Andrew Quinn,DC ,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Tim Murray,NE ,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Tim Melia,SKC,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Brian Perk,LA ,GK,0,0,0,0,0,0,0,0,0,0,0,2010,reg
Kasey Keller,SEA,GK,34,34,145,110,37,18,7,9,9,52.9,75.9,2011,reg
Matt Pickens,COL,GK,34,34,116,76,41,12,9,13,8,35.3,65.5,2011,reg
Tally Hall,HOU,GK,34,34,143,99,41,12,9,13,6,35.3,69.2,2011,reg
Kevin Hartman,DAL,GK,33,33,124,85,35,15,11,7,13,45.5,68.5,2011,reg
Nick Rimando,RSL,GK,33,33,134,95,36,14,11,8,13,42.4,70.9,2011,reg
Jon Busch,SJ ,GK,33,33,160,113,44,7,12,14,7,21.2,70.6,2011,reg
William Hesmer,CLB,GK,32,32,135,92,44,11,13,8,8,34.4,68.1,2011,reg
Dan Kennedy,CHV,GK,32,32,142,100,39,8,12,12,9,25,70.4,2011,reg
Jimmy Nielsen,KC ,GK,31,31,114,79,35,12,8,11,7,38.7,69.3,2011,reg
Troy Perkins,POR,GK,29,29,132,91,38,9,12,8,9,31,68.9,2011,reg
Bill Hamid,DC,GK,28,28,114,77,37,7,9,10,7,25,67.5,2011,reg
Sean Johnson,NYC,GK,28,28,115,76,37,9,7,12,7,32.1,66.1,2011,reg
Faryd Mondragón,PHI,GK,27,27,79,49,28,8,8,11,7,29.6,62,2011,reg
Stefan Frei,SEA,GK,27,27,155,106,49,3,12,11,6,11.1,68.4,2011,reg
Matt Reis,NE ,GK,27,27,159,111,43,5,12,10,5,18.5,69.8,2011,reg
Joe Cannon,VAN,GK,20,20,99,66,32,4,12,4,3,20,66.7,2011,reg
Josh Saunders,LA ,GK,19,18,73,55,17,12,2,4,8,63.2,75.3,2011,reg
Donovan Ricketts,LA ,GK,15,15,54,41,11,7,3,4,7,46.7,75.9,2011,reg
Jay Nolly,VAN,GK,14,14,63,39,23,2,6,6,2,14.3,61.9,2011,reg
Bouna Coundoul,NY ,GK,12,11,51,37,13,3,2,6,3,25,72.5,2011,reg
Frank Rost,NY ,GK,11,11,40,26,14,4,4,3,5,36.4,65,2011,reg
Greg Sutton,NY ,GK,10,10,44,30,15,3,2,5,2,30,68.2,2011,reg
Milos Kocic,TOR,GK,8,7,47,35,10,3,1,4,1,37.5,74.5,2011,reg
Zac MacMath,RSL,GK,8,7,25,16,8,3,0,4,3,37.5,64,2011,reg
Bobby Shuttleworth,CHI,GK,7,7,32,17,15,0,4,3,0,0,53.1,2011,reg
Jon Conway,CHI,GK,6,6,24,15,8,0,2,4,1,0,62.5,2011,reg
Eric Kronberg,KC ,GK,4,3,15,10,5,1,1,1,1,25,66.7,2011,reg
Jake Gleeson,POR,GK,4,3,17,12,6,2,0,1,0,50,70.6,2011,reg
Joe Willis,NSH,GK,3,3,16,12,4,1,2,0,1,33.3,75,2011,reg
Pat Onstad,DC ,GK,3,3,16,8,7,1,2,0,0,33.3,50,2011,reg
Steve Cronin,DC ,GK,2,0,10,6,4,0,0,2,0,0,60,2011,reg
Adin Brown,POR,GK,2,2,9,5,4,0,2,0,0,0,55.6,2011,reg
Zach Thornton,CHV,GK,2,2,7,3,4,0,2,0,0,0,42.9,2011,reg
Andy Gruenebaum,CLB,GK,2,2,5,5,0,2,0,0,2,100,100,2011,reg
Kyle Reynish,RSL,GK,1,1,2,2,0,1,0,0,1,100,100,2011,reg
Chris Seitz,DC,GK,1,1,9,5,4,0,1,0,0,0,55.6,2011,reg
Chris Konopka,NY ,GK,1,1,4,2,2,0,0,1,0,0,50,2011,reg
Brian Perk,LA ,GK,1,1,2,2,0,0,0,1,1,0,100,2011,reg
David Bingham,LA,GK,1,1,5,4,1,1,0,0,0,100,80,2011,reg
Alex Horwath,NY ,GK,1,1,4,4,0,0,0,1,1,0,100,2011,reg
Alec Dufty,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Alex Riggs,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Tyler Deric,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Tim Murray,NE ,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Tim Melia,SKC,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Evan Newton,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Richard Sanchez,SKC,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Brian Sylvestre,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Thorne Holder,PHI,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Chase Harrison,PHI,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Bryan Meredith,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Sergio Arias,CHV,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Ian Joyce,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Josh Lambo,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Andrew Weber,SJ ,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Terry Boss,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Steward Ceus,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Jimmy Nielsen,KC ,GK,34,34,102,77,27,18,7,9,15,52.9,75.5,2012,reg
Donovan Ricketts,MTL,GK,33,33,143,87,52,12,14,5,5,36.4,60.8,2012,reg
Andy Gruenebaum,CLB,GK,33,33,166,124,41,13,12,7,8,39.4,74.7,2012,reg
Tally Hall,HOU,GK,33,33,129,88,39,14,8,11,12,42.4,68.2,2012,reg
Jon Busch,SJ ,GK,32,32,123,77,40,17,5,9,7,53.1,62.6,2012,reg
Matt Pickens,COL,GK,32,32,155,107,49,9,19,4,7,28.1,69,2012,reg
Dan Kennedy,CHV,GK,32,32,167,109,54,7,17,8,7,21.9,65.3,2012,reg
Zac MacMath,RSL,GK,32,32,139,93,43,10,17,5,8,31.3,66.9,2012,reg
Sean Johnson,NYC,GK,31,31,143,108,38,16,10,5,5,51.6,75.5,2012,reg
Troy Perkins,MTL,GK,31,31,148,101,43,8,14,8,7,25.8,68.2,2012,reg
Nick Rimando,RSL,GK,31,31,116,83,33,16,11,4,12,51.6,71.6,2012,reg
Kevin Hartman,DAL,GK,30,30,148,98,42,9,11,10,6,30,66.2,2012,reg
Matt Reis,NE ,GK,27,27,133,92,39,6,14,7,6,22.2,69.2,2012,reg
Josh Saunders,LA ,GK,27,27,118,80,36,16,7,4,9,59.3,67.8,2012,reg
Milos Kocic,TOR,GK,27,27,129,82,47,5,16,6,3,18.5,63.6,2012,reg
Joe Cannon,VAN,GK,26,26,109,73,34,8,10,7,8,30.8,67,2012,reg
Bill Hamid,DC,GK,24,24,113,88,24,13,6,4,8,54.2,77.9,2012,reg
Michael Gspurning,SEA,GK,21,21,77,59,15,12,4,5,8,57.1,76.6,2012,reg
Ryan Meara,RBNY,GK,18,18,90,59,27,9,5,4,3,50,65.6,2012,reg
Bill Gaudette,LA ,GK,15,15,62,38,20,5,5,5,3,33.3,61.3,2012,reg
Bryan Meredith,VAN,GK,12,10,36,20,14,3,3,5,3,25,55.6,2012,reg
Joe Willis,NSH,GK,11,10,50,31,19,4,4,3,2,36.4,62,2012,reg
Brad Knighton,NE,GK,10,8,36,27,7,3,3,3,3,30,75,2012,reg
Bobby Shuttleworth,CHI,GK,7,7,29,23,5,3,3,1,3,42.9,79.3,2012,reg
Freddy Hall,TOR,GK,7,7,42,27,15,0,5,2,1,0,64.3,2012,reg
Joe Bendik,PHI,GK,5,3,21,11,8,0,2,3,0,0,52.4,2012,reg
Brian Perk,LA ,GK,4,4,13,7,7,0,3,1,0,0,53.8,2012,reg
Chris Seitz,DC,GK,4,4,15,10,5,0,2,2,0,0,66.7,2012,reg
Luis Robles,MIA,GK,4,4,12,9,3,2,1,1,2,50,75,2012,reg
Matt Lampson,CLB,GK,3,1,10,7,3,2,0,0,0,66.7,70,2012,reg
Steward Ceus,COL,GK,3,2,5,4,1,2,0,0,2,66.7,80,2012,reg
Andrew Weber,SEA,GK,3,3,9,5,4,0,1,1,0,0,55.6,2012,reg
David Bingham,LA,GK,3,2,12,8,3,2,1,0,0,66.7,66.7,2012,reg
Paolo Tornaghi,CHI,GK,3,3,17,14,3,1,1,1,1,33.3,82.4,2012,reg
Kyle Reynish,RSL,GK,3,3,8,6,2,1,0,2,2,33.3,75,2012,reg
Tim Melia,SKC,GK,2,2,13,9,4,0,1,1,0,0,69.2,2012,reg
Greg Sutton,MTL,GK,1,0,1,0,1,0,1,0,0,0,0,2012,reg
Chris Konopka,PHI,GK,1,1,7,6,1,0,1,0,0,0,85.7,2012,reg
Tyler Deric,HOU,GK,1,1,9,7,2,0,1,0,0,0,77.8,2012,reg
Chase Harrison,PHI,GK,1,1,3,2,1,0,0,1,0,0,66.7,2012,reg
Evan Bush,MTL,GK,1,1,7,4,3,0,1,0,0,0,57.1,2012,reg
Brian Rowe ,ORL,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Jeremy Vuolo,NY ,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Erich Marscheider,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Patrick McLain,CHV,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Scott Angevine,KC ,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Tim Murray,NE ,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Evan Newton,SJ ,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Brian Sylvestre,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Jake Gleeson,POR,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Richard Sanchez,SKC,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Ian Joyce,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Stefan Frei,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Andrew Dykstra,DC ,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
William Hesmer,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Jay Nolly,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Eric Kronberg,KC ,GK,0,0,0,0,0,0,0,0,0,0,0,2012,reg
Jimmy Nielsen,KC ,GK,34,34,100,68,30,17,10,7,13,50,68,2013,reg
Luis Robles,MIA,GK,34,34,147,103,41,17,9,8,11,50,70.1,2013,reg
Tally Hall,HOU,GK,34,34,141,95,41,14,11,9,9,41.2,67.4,2013,reg
Zac MacMath,RSL,GK,34,34,147,101,44,12,12,10,12,35.3,68.7,2013,reg
Joe Bendik,PHI,GK,33,33,139,90,46,6,16,11,4,18.2,64.7,2013,reg
Troy Perkins,MTL,GK,33,33,158,109,48,14,12,7,8,42.4,69,2013,reg
Jon Busch,SJ ,GK,33,33,142,101,41,13,11,9,9,39.4,71.1,2013,reg
Clint Irwin,COL,GK,32,31,132,91,35,14,9,9,10,43.8,68.9,2013,reg
Donovan Ricketts,POR,GK,32,32,126,92,31,13,5,14,14,40.6,73,2013,reg
Dan Kennedy,CHV,GK,31,31,166,104,54,6,17,8,3,19.4,62.7,2013,reg
Michael Gspurning,SEA,GK,28,28,114,76,35,12,9,6,10,42.9,66.7,2013,reg
Sean Johnson,NYC,GK,28,28,132,93,39,12,10,6,6,42.9,70.5,2013,reg
Nick Rimando,RSL,GK,27,27,112,82,28,14,7,6,9,51.9,73.2,2013,reg
Raul Fernandez,DAL,GK,26,26,129,88,41,7,10,9,7,26.9,68.2,2013,reg
Bill Hamid,DC,GK,25,25,119,80,39,2,17,6,4,8,67.2,2013,reg
Bobby Shuttleworth,CHI,GK,23,22,96,64,30,7,11,5,9,30.4,66.7,2013,reg
Carlo Cudicini,LA ,GK,21,21,68,39,27,9,8,4,7,42.9,57.4,2013,reg
Andy Gruenebaum,CLB,GK,21,21,100,71,28,5,11,5,4,23.8,71,2013,reg
David Ousted,VAN,GK,13,13,54,37,16,4,5,4,4,30.8,68.5,2013,reg
Matt Lampson,CLB,GK,13,13,63,43,18,7,6,0,5,53.8,68.3,2013,reg
Matt Reis,NE ,GK,12,12,37,29,8,7,0,4,5,58.3,78.4,2013,reg
Brad Knighton,NE,GK,11,11,50,35,15,6,3,2,2,54.5,70,2013,reg
Joe Cannon,VAN,GK,10,10,42,31,14,3,4,3,1,30,73.8,2013,reg
Jaime Penedo,LA ,GK,9,9,31,24,7,4,1,4,4,44.4,77.4,2013,reg
Joe Willis,NSH,GK,9,9,47,28,20,1,7,1,1,11.1,59.6,2013,reg
Chris Seitz,DC,GK,8,8,36,24,11,4,2,2,2,50,66.7,2013,reg
Paolo Tornaghi,CHI,GK,6,6,24,12,13,2,3,1,0,33.3,50,2013,reg
Jeff Attinella,POR,GK,5,4,24,14,9,1,2,1,1,20,58.3,2013,reg
Brian Rowe ,ORL,GK,4,4,19,14,4,2,2,0,2,50,73.7,2013,reg
Marcus Hahnemann,SEA,GK,4,4,10,6,4,2,2,0,1,50,60,2013,reg
Andrew Weber,SEA,GK,3,2,8,5,3,1,1,1,0,33.3,62.5,2013,reg
Josh Saunders,RSL,GK,3,3,18,13,4,1,1,1,0,33.3,72.2,2013,reg
Matt Pickens,COL,GK,2,2,4,2,2,0,1,0,0,0,50,2013,reg
Patrick McLain,CHV,GK,2,1,10,4,6,0,1,0,0,0,40,2013,reg
Tim Melia,SKC,GK,2,2,15,8,7,0,2,0,0,0,53.3,2013,reg
Milos Kocic,POR,GK,2,2,10,7,2,1,0,1,1,50,70,2013,reg
Stefan Frei,SEA,GK,1,1,3,2,1,0,1,0,0,0,66.7,2013,reg
Steward Ceus,COL,GK,1,1,6,5,1,0,1,0,0,0,83.3,2013,reg
David Bingham,LA,GK,1,1,8,7,1,1,0,0,0,100,87.5,2013,reg
Evan Bush,MTL,GK,1,1,7,6,1,0,1,0,0,0,85.7,2013,reg
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Santiago Castaño,NY ,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Luis Soffner,NE ,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Daniel Withrow,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Alec Kann,ATL,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Evan Newton,SJ ,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Jake Gleeson,POR,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Richard Sanchez,SKC,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Tyler Deric,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Erich Marscheider,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Simon Thomas,CAN,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Andrew Dykstra,DC ,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Brian Perk,LA ,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Eric Kronberg,KC ,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Chris Konopka,PHI,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Kevin Hartman,NY ,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Oka Nikolov,PHI,GK,0,0,0,0,0,0,0,0,0,0,0,2013,reg
Jon Busch,SJ ,GK,34,34,191,137,50,6,16,12,6,17.6,71.7,2014,reg
Luis Robles,MIA,GK,34,34,171,111,50,13,10,11,6,38.2,64.9,2014,reg
David Ousted,VAN,GK,34,34,140,96,40,12,8,14,13,35.3,68.6,2014,reg
Stefan Frei,SEA,GK,34,34,149,99,50,20,10,4,9,58.8,66.4,2014,reg
Steve Clark,POR,GK,34,34,153,111,42,14,10,10,8,41.2,72.5,2014,reg
Dan Kennedy,CHV,GK,33,33,155,93,57,9,18,6,6,27.3,60,2014,reg
Sean Johnson,NYC,GK,33,33,149,96,49,6,9,18,6,18.2,64.4,2014,reg
Donovan Ricketts,POR,GK,32,32,151,105,44,12,7,12,7,37.5,69.5,2014,reg
Bobby Shuttleworth,CHI,GK,32,32,141,94,40,16,12,4,8,50,66.7,2014,reg
Bill Hamid,DC,GK,30,30,146,110,34,14,9,7,10,46.7,75.3,2014,reg
Zac MacMath,RSL,GK,29,29,125,77,45,9,10,10,5,31,61.6,2014,reg
Jaime Penedo,LA ,GK,29,29,115,81,33,15,7,7,8,51.7,70.4,2014,reg
Joe Bendik,PHI,GK,27,27,125,82,45,8,11,8,4,29.6,65.6,2014,reg
Clint Irwin,COL,GK,26,25,125,73,49,7,15,4,7,26.9,58.4,2014,reg
Tally Hall,HOU,GK,24,24,115,67,44,8,12,4,7,33.3,58.3,2014,reg
Nick Rimando,RSL,GK,24,24,97,71,25,13,4,7,7,54.2,73.2,2014,reg
Raul Fernandez,DAL,GK,21,20,95,66,25,9,8,3,4,42.9,69.5,2014,reg
Troy Perkins,MTL,GK,21,21,102,66,35,4,12,5,5,19,64.7,2014,reg
Eric Kronberg,KC ,GK,20,20,73,45,22,7,8,5,7,35,61.6,2014,reg
Chris Seitz,DC,GK,14,14,67,44,20,7,4,3,2,50,65.7,2014,reg
Evan Bush,MTL,GK,13,13,79,52,23,2,6,5,3,15.4,65.8,2014,reg
Tyler Deric,HOU,GK,11,10,53,36,14,3,5,2,3,27.3,67.9,2014,reg
Andy Gruenebaum,KC ,GK,11,11,45,34,12,6,3,2,3,54.5,75.6,2014,reg
Jeff Attinella,POR,GK,10,10,60,45,14,2,4,4,3,20,75,2014,reg
Júlio César,BRA,GK,7,7,27,18,9,3,4,0,2,42.9,66.7,2014,reg
John Berner,COL,GK,5,5,12,6,6,1,1,3,2,20,50,2014,reg
Joe Nasco,COL,GK,4,4,19,13,7,0,2,1,0,0,68.4,2014,reg
Jon Kempin,CLB,GK,4,3,13,5,7,1,2,0,0,25,38.5,2014,reg
Rais MBolhi,ALG,GK,4,4,13,7,4,1,1,2,1,25,53.8,2014,reg
Andrew Dykstra,DC ,GK,4,4,9,6,3,3,0,1,2,75,66.7,2014,reg
Andrew Weber,POR,GK,3,2,16,8,8,0,2,1,0,0,50,2014,reg
Brian Rowe ,ORL,GK,3,3,13,10,3,1,0,2,1,33.3,76.9,2014,reg
Tim Melia,SKC,GK,2,1,4,1,3,0,1,0,0,0,25,2014,reg
Brian Perk,LA ,GK,2,2,3,2,1,1,0,1,1,50,66.7,2014,reg
Brad Knighton,NE,GK,2,2,12,6,6,1,1,0,0,50,50,2014,reg
Trevor Spangenberg,CHV,GK,1,0,2,1,1,0,0,0,0,0,50,2014,reg
Andre Blake,PHI,GK,1,1,8,7,2,0,1,0,0,0,87.5,2014,reg
Kyle Reynish,CHI,GK,1,1,4,2,2,0,1,0,0,0,50,2014,reg
Chris Konopka,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Matt Pickens,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
David Bingham,LA,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Jake Gleeson,POR,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
